"자치구별(1)","자치구별(2)","시점",성별(1),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)","자치구별(2)","시점",성별(1),20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
"합계","노원구","2020",계,590,5554,5204,3900,3530,3164,3700,3764,4025,5269,4757,4359,3924,2779,1919
"합계","노원구","2021",계,644,5683,5680,4716,3803,3421,3613,3983,4190,5615,5444,4531,4027,3186,2111
"합계","은평구","2017",계,198,1970,4804,5137,4421,3745,3896,3338,4099,3859,3175,2906,2671,1512,804
"합계","은평구","2018",계,235,2066,5404,5345,4631,3664,4054,3458,4013,4287,3279,3104,2743,1686,919
"합계","은평구","2019",계,251,2539,6610,5708,4901,3679,4184,3602,4112,4555,3532,3280,2880,1904,1077
"합계","은평구","2020",계,235,2967,7707,6490,5182,3982,4294,3853,4116,5007,3999,3615,3054,2126,1226
"합계","은평구","2021",계,190,3117,8772,7300,5363,4294,4228,4239,4198,5353,4579,3767,3256,2353,1438
"합계","서대문구","2017",계,797,7678,7745,4468,3149,2536,2596,2164,2391,2324,1938,1870,1922,1200,640
"합계","서대문구","2018",계,831,7947,8048,4591,3275,2512,2672,2131,2398,2545,1995,1950,1874,1317,709
"합계","서대문구","2019",계,744,8292,8485,4713,3337,2480,2673,2282,2444,2661,2104,2015,1923,1475,821
"합계","서대문구","2020",계,988,8945,8982,5420,3587,2629,2682,2465,2522,2744,2323,2138,1954,1539,945
"합계","서대문구","2021",계,857,8953,9992,5910,3773,2823,2661,2755,2542,2914,2642,2195,2017,1691,1067
"합계","마포구","2017",계,611,5804,10359,8698,6091,4328,3646,2578,2526,2243,1978,1804,1715,1149,632
"합계","마포구","2018",계,782,6067,11271,9031,6456,4274,3784,2715,2516,2351,1995,1891,1804,1210,690
"합계","마포구","2019",계,554,6608,12239,9331,6562,4275,3934,2794,2502,2501,1971,2013,1861,1302,801
"합계","마포구","2020",계,663,6993,13204,10088,6872,4516,4053,2967,2576,2671,2199,2099,1922,1416,933
"합계","마포구","2021",계,485,7144,14365,11063,7085,4835,4016,3286,2652,2923,2547,2212,2002,1488,1059
"합계","양천구","2017",계,149,986,2691,3267,2943,2738,2949,2683,3322,3078,2505,1987,1780,1218,792
"합계","양천구","2018",계,149,1047,2894,3307,3127,2572,2853,2763,3265,3377,2667,2191,1877,1306,909
"합계","양천구","2019",계,142,1182,3314,3489,3174,2653,2929,2797,3252,3668,2865,2472,1971,1447,990
"합계","양천구","2020",계,144,1250,4031,3987,3344,2695,2967,2853,3346,3972,3382,2698,2109,1587,1071
"합계","양천구","2021",계,131,1399,4537,4725,3528,2961,2880,3102,3363,4305,3859,3013,2258,1689,1223
"합계","강서구","2017",계,256,3471,10220,9894,7363,5414,4807,4186,5143,4926,3798,3154,2673,1726,1206
"합계","강서구","2018",계,270,3526,11614,10521,7969,5481,5219,4236,5176,5512,4042,3450,2825,1875,1295
"합계","강서구","2019",계,325,4108,13600,11648,8271,5633,5369,4560,5115,5906,4447,3815,2984,2097,1493
"합계","강서구","2020",계,336,4442,15643,13177,8898,5919,5333,4775,5080,6275,5142,4101,3138,2226,1687
"합계","강서구","2021",계,252,4754,17660,15371,9413,6507,5508,5121,5118,6609,6023,4356,3357,2528,1859
"합계","구로구","2017",계,203,2113,5707,5515,4323,3503,3527,3058,3516,3153,2523,2155,1886,1177,625
"합계","구로구","2018",계,236,2184,6136,5425,4288,3324,3623,3040,3528,3406,2629,2328,1970,1311,723
"합계","구로구","2019",계,232,2609,7184,5957,4424,3317,3687,3283,3553,3699,2833,2616,2066,1466,814
"합계","구로구","2020",계,232,2675,7671,6607,4631,3457,3812,3447,3668,3952,3271,2785,2187,1610,966
"합계","구로구","2021",계,184,2874,8488,7517,4837,3657,3748,3675,3765,4265,3728,2989,2373,1752,1128
"합계","금천구","2017",계,102,1367,4316,4092,2832,2443,2971,2965,3186,2612,1950,1547,1368,767,410
"합계","금천구","2018",계,104,1552,5105,4131,3075,2382,2837,2927,3257,2787,2079,1624,1450,815,439
"합계","금천구","2019",계,138,1881,6120,4790,3370,2326,2887,2966,3339,3048,2186,1762,1531,923,511
"합계","금천구","2020",계,139,2288,7518,5718,3615,2607,2842,3178,3427,3383,2470,1957,1565,1006,621
"합계","금천구","2021",계,116,2512,8913,6729,3975,2859,2805,3281,3545,3713,2824,2106,1598,1160,691
"합계","영등포구","2017",계,195,2776,8938,8088,5050,3835,3866,3345,3559,3022,2557,2035,1901,1271,713
"합계","영등포구","2018",계,186,2919,10054,8547,5512,3656,3894,3264,3538,3229,2517,2148,1933,1286,794
"합계","영등포구","2019",계,251,3277,11754,9638,5907,3781,3938,3298,3604,3507,2634,2352,2014,1378,881
"합계","영등포구","2020",계,189,3622,13418,11074,6350,4144,4066,3583,3674,3844,2955,2513,2048,1497,1023
"합계","영등포구","2021",계,165,3933,14988,12489,7036,4535,4025,3922,3751,4117,3381,2672,2103,1566,1123
"합계","동작구","2017",계,1151,6972,10905,7832,4834,3490,3194,2517,2851,2612,2322,2044,1840,1133,658
"합계","동작구","2018",계,1108,7600,11880,7798,5075,3357,3294,2533,2889,2885,2365,2218,1914,1252,704
"합계","동작구","2019",계,891,7837,13256,8329,5228,3396,3325,2775,2804,3060,2575,2396,1983,1383,850
"합계","동작구","2020",계,1261,8592,14153,9131,5246,3606,3322,2849,2774,3244,2813,2585,2055,1488,982
"합계","동작구","2021",계,943,8871,15186,10241,5462,3893,3363,3090,2873,3501,3160,2714,2194,1643,1097
"합계","관악구","2017",계,1102,12502,27300,18199,10463,6833,5925,4620,4783,4223,3408,2887,2515,1340,765
"합계","관악구","2018",계,1048,13855,30179,18649,10804,6507,6054,4775,4824,4535,3433,3144,2634,1476,816
"합계","관악구","2019",계,1023,14851,33127,19915,10984,6510,6184,4995,4930,4844,3683,3388,2763,1719,947
"합계","관악구","2020",계,1121,15893,36331,21802,11342,7063,6273,5345,5066,5321,4163,3553,2914,1946,1100
"합계","관악구","2021",계,734,15635,38989,23541,11571,7690,6311,5742,5231,5772,4780,3783,3095,2143,1238
"합계","서초구","2017",계,537,2426,5925,6375,5005,3696,3387,2279,2331,2166,1705,1459,1087,760,564
"합계","서초구","2018",계,504,2517,6108,6477,5323,3632,3560,2441,2335,2352,1785,1520,1201,784,598
"합계","서초구","2019",계,521,2550,6448,6800,5479,3621,3590,2593,2336,2452,1858,1640,1275,829,675
"합계","서초구","2020",계,600,2884,6560,7187,5366,3703,3377,2697,2237,2440,2125,1800,1342,903,721
"합계","서초구","2021",계,297,2678,6870,7735,5463,4111,3412,2951,2329,2556,2428,1850,1464,1001,788
