# DL_YM,DL_GD_LCLS_NM,DL_GD_LCLS_CD,DL_GD_MCLS_NM,DL_GD_MCLS_CD,DL_GD_SCLS_NM,DL_GD_SCLS_CD,GD_LCLS_NM,GD_LCLS_CD,GD_MCLS_NM,GD_MCLS_CD,GD_SCLS_NM,GD_SCLS_CD,CTPV_NM,CTPV_CD,CTGG_NM,CTGG_CD,EMD_NM,EMD_CD,INVC_CONT
201904,화장품/미용,1010,뷰티소품,10101004,뷰티소품기타,1.0101E+11,의류/가방 및 개인신체관리용품,53,개인신체관리용품,5304,목욕 및 바디용품,530402,서울특별시,11,금천구,11545,가산동,1154510100,62
201904,생활건강,1004,주방용품,10041020,식기,1.0041E+11,가정용품 및 가전제품,52,주방용품,5204,음식수납용기,520402,서울특별시,11,종로구,11110,부암동,1111018400,8
201904,생활건강,1004,공구,10041002,공구기타,1.0041E+11,가구 및 홈데코,56,DIY 건자재 및 공구,5603,가정용 공구,560302,서울특별시,11,종로구,11110,묘동,1111015100,27
201904,생활건강,1004,공구,10041002,공구기타,1.0041E+11,가구 및 홈데코,56,DIY 건자재 및 공구,5603,가정용 공구,560302,서울특별시,11,종로구,11110,부암동,1111018400,37
201904,생활건강,1004,문구/사무용품,10041007,앨범,1.0041E+11,교육/게임/예술,60,미술/공예,6004,사진틀,600403,서울특별시,11,종로구,11110,부암동,1111018400,1
201904,디지털/가전,1003,영상가전,10031007,영상플레이어,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,음향기기 및 액세서리,520201,서울특별시,11,종로구,11110,구기동,1111018200,11
201904,생활건강,1004,의료용품,10041017,의료용품기타,1.0041E+11,의료용 기구 및 용품,42,응급처치 및 개인 건강 용품,4203,개인용 건강/위생용품 및 액세서리,420302,서울특별시,11,종로구,11110,부암동,1111018400,7
201904,가구/인테리어,1001,주방가구,10011010,주방제품,1.0011E+11,가구 및 홈데코,56,가정용 가구,5601,실내용 가구,560101,서울특별시,11,종로구,11110,묘동,1111015100,1
201904,디지털/가전,1003,계절가전,10031002,공기정화기,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,기타 가전기기 및 제품,520104,서울특별시,11,종로구,11110,묘동,1111015100,7
201904,디지털/가전,1003,계절가전,10031002,공기정화기,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,기타 가전기기 및 제품,520104,서울특별시,11,금천구,11545,가산동,1154510100,661
201904,식품,1006,김치,10061004,일반김치,1.0061E+11,식음료품 및 담배,50,김치 및 향신료,5005,김치,500501,서울특별시,11,종로구,11110,묘동,1111015100,6
201904,식품,1006,김치,10061004,일반김치,1.0061E+11,식음료품 및 담배,50,김치 및 향신료,5005,김치,500501,서울특별시,11,종로구,11110,공평동,1111012700,3
201904,디지털/가전,1003,계절가전,10031002,공기정화기,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,기타 가전기기 및 제품,520104,서울특별시,11,종로구,11110,공평동,1111012700,5
201904,가구/인테리어,1001,침실가구,10011011,화장대,1.0011E+11,가구 및 홈데코,56,가정용 가구,5601,실내용 가구,560101,서울특별시,11,종로구,11110,부암동,1111018400,4
201904,생활건강,1004,악기,10041011,악기기타,1.0041E+11,교육/게임/예술,60,악기,6002,악기 및 악기세트/부속품,600201,서울특별시,11,종로구,11110,묘동,1111015100,7
201904,디지털/가전,1003,영상가전,10031007,영상가전액세서리,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,영상기기 및 액세서리,520202,서울특별시,11,종로구,11110,부암동,1111018400,4
201904,생활건강,1004,악기,10041011,악기기타,1.0041E+11,교육/게임/예술,60,악기,6002,악기 및 악기세트/부속품,600201,서울특별시,11,종로구,11110,구기동,1111018200,37
201904,식품,1006,농산물,10061006,견과/건과류,1.0061E+11,식음료품 및 담배,50,농산물,5001,과일 및 견과류,500101,서울특별시,11,종로구,11110,공평동,1111012700,2
201904,가구/인테리어,1001,인테리어소품,10011009,인테리어소품,1.0011E+11,가정용품 및 가전제품,52,바닥깔개/커튼류 및 잡화,5207,인테리어 소품/수집품 및 잡화,520703,서울특별시,11,종로구,11110,공평동,1111012700,12
201904,가구/인테리어,1001,DIY자재/DIY용품,10011001,바닥재,1.0011E+11,가구 및 홈데코,56,DIY 건자재 및 공구,5603,가정용 건축 자재,560301,서울특별시,11,금천구,11545,가산동,1154510100,26
201904,가구/인테리어,1001,인테리어소품,10011009,인테리어소품,1.0011E+11,가정용품 및 가전제품,52,바닥깔개/커튼류 및 잡화,5207,인테리어 소품/수집품 및 잡화,520703,서울특별시,11,종로구,11110,구기동,1111018200,42
201904,디지털/가전,1003,음향가전,10031008,음향기기,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,음향기기 및 액세서리,520201,서울특별시,11,종로구,11110,부암동,1111018400,2
201904,가구/인테리어,1001,DIY자재/DIY용품,10011001,바닥재,1.0011E+11,가구 및 홈데코,56,DIY 건자재 및 공구,5603,가정용 건축 자재,560301,서울특별시,11,종로구,11110,부암동,1111018400,3
201904,가구/인테리어,1001,DIY자재/DIY용품,10011001,타일,1.0011E+11,가구 및 홈데코,56,DIY 건자재 및 공구,5603,가정용 건축 자재,560301,서울특별시,11,종로구,11110,부암동,1111018400,4
201904,가구/인테리어,1001,DIY자재/DIY용품,10011001,타일,1.0011E+11,가구 및 홈데코,56,DIY 건자재 및 공구,5603,가정용 건축 자재,560301,서울특별시,11,금천구,11545,가산동,1154510100,120
201904,가구/인테리어,1001,DIY자재/DIY용품,10011001,DIY용품,1.0011E+11,가구 및 홈데코,56,DIY 건자재 및 공구,5603,가정용 건축 자재,560301,서울특별시,11,종로구,11110,공평동,1111012700,3
201904,식품,1006,음료,10061009,커피,1.0061E+11,식음료품 및 담배,50,음료,5008,커피와차,500801,서울특별시,11,종로구,11110,부암동,1111018400,67
201904,가구/인테리어,1001,거실가구,10011002,테이블,1.0011E+11,가구 및 홈데코,56,가정용 가구,5601,실내용 가구,560101,서울특별시,11,금천구,11545,가산동,1154510100,74
201904,생활건강,1004,주방용품,10041020,커피용품,1.0041E+11,가정용품 및 가전제품,52,주방용품,5204,기타 주방용품,520403,서울특별시,11,종로구,11110,묘동,1111015100,2
